datetime,symbol,open,high,low,close,volume
2/15/2023 7:20,OANDA:EURUSD,1.07195,1.0721,1.07194,1.07208,165
2/15/2023 7:25,OANDA:EURUSD,1.07208,1.07208,1.07175,1.07181,231
2/15/2023 7:30,OANDA:EURUSD,1.07181,1.07192,1.07159,1.07166,258
2/15/2023 7:35,OANDA:EURUSD,1.07166,1.07166,1.0715,1.07154,302
2/15/2023 7:40,OANDA:EURUSD,1.07154,1.07156,1.0715,1.07153,402
2/15/2023 7:45,OANDA:EURUSD,1.07153,1.0717,1.07144,1.0717,215
2/15/2023 7:50,OANDA:EURUSD,1.0717,1.07178,1.07166,1.0717,173
2/15/2023 7:55,OANDA:EURUSD,1.0717,1.07205,1.0717,1.07194,274
2/15/2023 8:00,OANDA:EURUSD,1.07194,1.07208,1.0719,1.07196,201
2/15/2023 8:05,OANDA:EURUSD,1.07196,1.07209,1.07192,1.07196,139
2/15/2023 8:10,OANDA:EURUSD,1.07196,1.07196,1.07174,1.07176,139
2/15/2023 8:15,OANDA:EURUSD,1.07176,1.07178,1.07164,1.07176,151
2/15/2023 8:20,OANDA:EURUSD,1.07176,1.07182,1.07159,1.07174,176
2/15/2023 8:25,OANDA:EURUSD,1.07174,1.07188,1.07171,1.07182,152
2/15/2023 8:30,OANDA:EURUSD,1.07182,1.07193,1.07175,1.07192,190
2/15/2023 8:35,OANDA:EURUSD,1.07192,1.07212,1.07192,1.07206,259
2/15/2023 8:40,OANDA:EURUSD,1.07206,1.07207,1.07185,1.07188,220
2/15/2023 8:45,OANDA:EURUSD,1.07188,1.0721,1.07187,1.07189,182
2/15/2023 8:50,OANDA:EURUSD,1.07189,1.07192,1.07176,1.07188,194
2/15/2023 8:55,OANDA:EURUSD,1.07188,1.07188,1.07146,1.07146,216
2/15/2023 9:00,OANDA:EURUSD,1.07146,1.07166,1.07146,1.0716,199
2/15/2023 9:05,OANDA:EURUSD,1.0716,1.07174,1.07154,1.07158,139
2/15/2023 9:10,OANDA:EURUSD,1.07158,1.0717,1.07154,1.07158,123
2/15/2023 9:15,OANDA:EURUSD,1.07158,1.07158,1.07146,1.07151,112
2/15/2023 9:20,OANDA:EURUSD,1.07151,1.07158,1.07136,1.07154,201
2/15/2023 9:25,OANDA:EURUSD,1.07154,1.07158,1.07148,1.0715,195
2/15/2023 9:30,OANDA:EURUSD,1.0715,1.07169,1.07142,1.07147,245
2/15/2023 9:35,OANDA:EURUSD,1.07147,1.07155,1.0714,1.07151,162
2/15/2023 9:40,OANDA:EURUSD,1.07151,1.07178,1.07147,1.07178,222
2/15/2023 9:45,OANDA:EURUSD,1.07178,1.072,1.07168,1.07192,221
2/15/2023 9:50,OANDA:EURUSD,1.07192,1.07192,1.07166,1.0718,226
2/15/2023 9:55,OANDA:EURUSD,1.0718,1.07184,1.07145,1.07146,231
